wallet,total_txns,unique_actions,total_amount,total_deposit,total_borrow,total_repay,total_redeem,total_liquidations,days_active,repay_ratio,deposit_redeem_ratio
0x0005696d4be2359526c497fe4a4c0620b41f2426,7,4,103156179929371.98,293501410000.0,592.247574,592.2972,102862678518187.44,0,1,1.0000837926606687,0.0028533323672696818
0x000660cad76200a2e326f53e033919905e6c50f5,1,1,1.064772,1.064772,0.0,0.0,0.0,0,1,0.0,0.0
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,1,1300000000000.0,1300000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x00080000158a9930aeb508823103b0a977161c47,2,1,3000000000000.0,3000000000000.0,0.0,0.0,0.0,0,10,0.0,0.0
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,1,4712595639.187231,4712595639.187231,0.0,0.0,0.0,0,8,0.0,0.0
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,1,41000000000.0,41000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x000a27ba176083e4b50177378cbe7469a00dd557,12,4,873.3587650000002,276.526904,160.0,160.082274,276.749587,0,34,1.0005142125000002,0.9991953628461964
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,4,5.204052395703801e+16,1.9281445079779704e+16,48000000013383.27,13385.125834,3.2711078877231536e+16,0,26,2.78856788130583e-10,0.5894469317916783
0x000ab43e658935ba39504a1424b01756c1e9644c,2,2,110000000000.0,100000000000.0,10000000000.0,0.0,0.0,0,1,0.0,0.0
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,77,2,390905196192656.2,220021394145923.72,0.0,0.0,170883802046732.44,0,124,0.0,1.2875497356136387
0x000c8e2871750f458bf1de8ab528dda09bc95db6,4,4,3.4712e+16,1.5e+16,2356000000000000.0,2356000000000000.0,1.5e+16,0,1,1.0,1.0
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,71,4,137652692402.22406,71324576292.92883,971.0,921.516338,66328114216.778885,0,67,0.9490384531410917,1.075329475821069
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,6,3,200272000000080.1,200272000000000.0,40.0,40.10815,0.0,0,31,1.00270375,0.0
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,1,1000000000.0,1000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,1,100000000000.0,100000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,8,4,282569021219.354,282569019336.3728,879.0,501.890779,502.090425,0,81,0.5709792707622298,562785118.510023
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,8,2,3192625413161.585,2132617238514.029,0.0,0.0,1060008174647.5559,0,21,0.0,2.0118875396627076
0x000e840a3122ec28d0c29321db172375cb049762,10,4,383708442045496.44,383708442044795.1,216.90860700000002,217.048025,267.358748,0,27,1.00064274996704,1435181922847.7056
0x000e9bd1d42999446d60ff60f1fb3afb13604202,22,4,18225311980969.508,18112655988098.61,35.0,35.002269,112655992800.89796,0,2,1.0000648285714284,160.77845073106698
0x000eab293e332bd6e67018a9150e8807bfac3233,1,1,1200000000000.0,1200000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,2,2,112092343527428.52,56000000000000.0,0.0,0.0,56092343527428.516,0,16,0.0,0.9983537231354336
0x000f4432a40560bbff1b581a8b7aded8dab80026,25,4,916672306686400.8,9284729019012.137,17600.0,17614.321013,907387577632174.4,0,19,1.0008136939204546,0.010232373957819231
0x000f7f22bfc28d940d4b68e13213ab17cf107790,73,4,1.50210180878499e+20,4.082632353527151e+19,3.4310340193421263e+19,3.43160523316077e+19,4.075746481819851e+19,0,3,1.0001664844520408,1.0016894749803538
0x000f908720f9ce164d90f4fc89459fab4442907f,96,4,4646538410248442.0,1529696501917929.5,793528159068530.4,793555114216778.5,1529758635045204.0,0,2,1.0000339687356272,0.9999593837054741
0x000fbfec300959d0f2f327728a889c1f5de8e2df,8,4,1223282264572785.8,593233163408688.9,140000000000000.0,140049101164096.84,350000000000000.0,0,9,1.0003507226006918,1.6949518954533969
0x0011730224657eb527cf736039854c3a3f140e63,4,4,1.0478e+16,4500000000000000.0,739000000000000.0,739000000000000.0,4500000000000000.0,0,1,1.0,1.0
0x00120ea6fdbaf057eadc1bd149f957488444e92c,4,3,236759895699127.94,236759895699122.72,2.608976,2.608976,0.0,0,1,1.0,0.0
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,1,3000000000000.0,3000000000000.0,0.0,0.0,0.0,0,3,0.0,0.0
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,231,5,1.7352579900935718e+16,1.1486621116412444e+16,4923462755855000.0,933385959030950.9,9110069637323.65,2,63,0.1895791651761689,1260.8708356467596
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,1,1,5000954281.830769,0.0,0.0,0.0,5000954281.830769,0,1,0.0,0.0
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,1,92600000000.0,92600000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,1,2.455392,2.455392,0.0,0.0,0.0,0,7,0.0,0.0
0x0014dfac19477a83d7354e6eaac28642c1959398,36,4,339869397948920.7,169933609660123.03,18156.827224,18162.323503,169935788252478.44,0,31,1.0003027114226617,0.9999871799084948
0x001589fe1923c2118f34e4277f2ef650fcbf0161,30,3,7256240719456008.0,4140691562270580.0,943379631812690.5,0.0,2172169525372738.5,0,133,0.0,1.9062469636480368
0x00159370cbe576b765a7fb2e78582e0cb563d445,19,3,2986625430944594.5,1437821754944003.0,475533676000591.5,0.0,1073270000000000.0,0,21,0.0,1.339664534501107
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,2,2,28.254528,14.127252,0.0,0.0,14.127276,0,1,0.0,0.9999983011586947
0x0016469a65facda9e86fd0ae0e9661128843c224,2,2,27100000000.0,22100000000.0,5000000000.0,0.0,0.0,0,1,0.0,0.0
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,1,96300000000.0,96300000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x00183135585d70a523d61b2e43037a7138b36906,54,4,3595417828344362.5,1530492210114749.2,1420027252822416.0,640740282471.2976,644257625124726.1,0,58,0.0004512168912235845,2.3755903701076897
0x00184e8aa1e95f491f2d9601e12b540092160ded,4,4,326700000000000.0,102350000000000.0,61000000000000.0,61000000000000.0,102350000000000.0,0,1,1.0,1.0
0x0018583d7654803d2c59467e10dec5f70bbe1851,72,1,260000000.00045997,260000000.00045997,0.0,0.0,0.0,0,23,0.0,0.0
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,1,2.2,2.2,0.0,0.0,0.0,0,6,0.0,0.0
0x0018d044b946ede86b43bb3b964a45772a5abeb9,22,4,29416040342014.43,14628276542630.127,1.121816,1.12182,14787763799382.059,0,54,1.0000035656471293,0.9892149172169902
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,5,3,187368668395485.34,0.0,79.209353,158.517071,187368668395247.62,0,15,2.001241835670593,0.0
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1,1,100000000000.0,100000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x001b024b98ee862aa01eea595c4c16a0213d2611,2,2,411897656335.2786,411897655835.2786,500.0,0.0,0.0,0,1,0.0,0.0
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,32,4,39147130995675.0,39147130994874.79,234.424601,234.55510500000003,331.228407,0,24,1.0005566992518846,118187722331.66217
0x001bc97d92e1a30b02d4e75be25f06063555d556,45,4,2.1403024302392422e+17,1.1484504979413795e+17,54452.832761,54495.849398,9.918519322967731e+16,0,10,1.0007899797828481,1.1578850235054543
0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,1,6240750099.327031,6240750099.327031,0.0,0.0,0.0,0,21,0.0,0.0
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,1,2000000000000.0098,2000000000000.0098,0.0,0.0,0.0,0,10,0.0,0.0
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,1,6461144026.105417,6461144026.105417,0.0,0.0,0.0,0,1,0.0,0.0
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,1,1.109087,1.109087,0.0,0.0,0.0,0,1,0.0,0.0
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,1,0.018485,0.018485,0.0,0.0,0.0,0,1,0.0,0.0
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,6,2,1218900412657474.8,918900412657474.9,0.0,0.0,300000000000000.0,0,69,0.0,3.0630013755249164
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,1,0.023783,0.023783,0.0,0.0,0.0,0,1,0.0,0.0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,1,1,2012030.94263,0.0,0.0,0.0,2012030.94263,0,1,0.0,0.0
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,1,1135240588968.5977,1135240588968.5977,0.0,0.0,0.0,0,7,0.0,0.0
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,1,4440486156.185637,4440486156.185637,0.0,0.0,0.0,0,1,0.0,0.0
0x002379916ac42a432f3b53f16782d33267debb4c,1,1,1500000000000.0,1500000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,1,2.2,2.2,0.0,0.0,0.0,0,6,0.0,0.0
0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,1,14.997724,14.997724,0.0,0.0,0.0,0,1,0.0,0.0
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,1,4.999194,4.999194,0.0,0.0,0.0,0,1,0.0,0.0
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,1,12625001510.457943,12625001510.457943,0.0,0.0,0.0,0,2,0.0,0.0
0x0024461e7a8ce7157866eaa4c24b702d328250ce,1,1,1012.775168,0.0,0.0,0.0,1012.775168,0,1,0.0,0.0
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,1,25000000000.0,25000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x00246f7813397868b1beec56e1677efa47816dae,44,4,1.0792894939202136e+16,3037908154495826.0,2356800000000000.0,2359307309858441.0,3038879474847870.0,0,22,1.0010638619562293,0.9996803689122641
0x0025a856d01a898bd52286d56c52323b13937b65,1,1,100000000000.0,100000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x00261d225db379b3fc74cd0228d6f90582d39035,2,2,39200000000.0,34200000000.0,5000000000.0,0.0,0.0,0,1,0.0,0.0
0x00262ffcfda82b5582d1905ca05b849f196b0419,10,4,316.514252,101.16919200000001,57.074003000000005,57.090279,101.180778,0,4,1.0002851736192395,0.9998854920842771
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,1,450246121.481307,450246121.481307,0.0,0.0,0.0,0,1,0.0,0.0
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,1,1.851978,1.851978,0.0,0.0,0.0,0,1,0.0,0.0
